game_date,week,receiver_player_name,posteam,defteam,receiving_yards,complete_pass,pass_touchdown
2020-09-10,1,D.Robinson,KC,HOU,7.0,1.0,0.0
2020-09-10,1,W.Fuller,HOU,KC,8.0,1.0,0.0
2020-09-10,1,W.Fuller,HOU,KC,7.0,1.0,0.0
2020-09-10,1,S.Watkins,KC,HOU,19.0,1.0,0.0
2020-09-10,1,C.Edwards-Helaire,KC,HOU,,0.0,0.0
2020-09-10,1,T.Hill,KC,HOU,15.0,1.0,0.0
2020-09-10,1,D.Williams,KC,HOU,1.0,1.0,0.0
2020-09-10,1,W.Fuller,HOU,KC,20.0,1.0,0.0
2020-09-10,1,B.Cooks,HOU,KC,,0.0,0.0
2020-09-10,1,S.Watkins,KC,HOU,,0.0,0.0
2020-09-10,1,T.Hill,KC,HOU,3.0,1.0,1.0
2020-09-10,1,W.Fuller,HOU,KC,10.0,1.0,0.0
2020-09-10,1,Da.Johnson,HOU,KC,12.0,1.0,0.0
2020-09-10,1,K.Stills,HOU,KC,,0.0,0.0
2020-09-10,1,K.Stills,HOU,KC,,0.0,0.0
2020-09-10,1,W.Fuller,HOU,KC,11.0,1.0,0.0
2020-09-10,1,J.Akins,HOU,KC,19.0,1.0,1.0
2020-09-10,1,R.Cobb,HOU,KC,,0.0,0.0
2020-09-10,1,C.Edwards-Helaire,KC,HOU,,0.0,0.0
2020-09-10,1,W.Fuller,HOU,KC,31.0,1.0,0.0
2020-09-10,1,R.Cobb,HOU,KC,17.0,1.0,0.0
2020-09-10,1,R.Cobb,HOU,KC,,0.0,0.0
2020-09-10,1,D.Carter,HOU,KC,8.0,1.0,0.0
2020-09-10,1,R.Cobb,HOU,KC,6.0,1.0,0.0
