game_date,week,passer_player_name,posteam,defteam,passing_yards,pass_touchdown,complete_pass,interception
2020-09-13,1,M.Stafford,DET,CHI,16.0,0.0,1.0,0.0
2020-09-13,1,M.Stafford,DET,CHI,4.0,1.0,1.0,0.0
2020-09-13,1,M.Trubisky,CHI,DET,0.0,0.0,1.0,0.0
2020-09-13,1,M.Stafford,DET,CHI,9.0,0.0,1.0,0.0
2020-09-13,1,M.Stafford,DET,CHI,,0.0,0.0,0.0
2020-09-13,1,M.Trubisky,CHI,DET,,0.0,0.0,0.0
2020-09-13,1,M.Trubisky,CHI,DET,18.0,0.0,1.0,0.0
2020-09-13,1,M.Trubisky,CHI,DET,22.0,0.0,1.0,0.0
2020-09-13,1,M.Trubisky,CHI,DET,,0.0,0.0,0.0
2020-09-13,1,M.Trubisky,CHI,DET,3.0,0.0,1.0,0.0
2020-09-13,1,M.Trubisky,CHI,DET,5.0,0.0,1.0,0.0
2020-09-13,1,M.Trubisky,CHI,DET,,0.0,0.0,0.0
2020-09-13,1,M.Trubisky,CHI,DET,2.0,1.0,1.0,0.0
2020-09-13,1,M.Stafford,DET,CHI,4.0,0.0,1.0,0.0
2020-09-13,1,M.Stafford,DET,CHI,9.0,0.0,1.0,0.0
2020-09-13,1,M.Stafford,DET,CHI,,0.0,0.0,0.0
2020-09-13,1,M.Stafford,DET,CHI,,0.0,0.0,0.0
2020-09-13,1,M.Trubisky,CHI,DET,,0.0,0.0,0.0
2020-09-13,1,M.Trubisky,CHI,DET,,0.0,0.0,0.0
2020-09-13,1,M.Stafford,DET,CHI,4.0,0.0,1.0,0.0
2020-09-13,1,M.Stafford,DET,CHI,,0.0,0.0,0.0
2020-09-13,1,M.Stafford,DET,CHI,,0.0,0.0,0.0
2020-09-13,1,M.Stafford,DET,CHI,5.0,0.0,1.0,0.0
2020-09-13,1,M.Trubisky,CHI,DET,7.0,0.0,1.0,0.0
2020-09-13,1,M.Trubisky,CHI,DET,18.0,0.0,1.0,0.0
2020-09-13,1,M.Trubisky,CHI,DET,13.0,0.0,1.0,0.0
2020-09-13,1,M.Trubisky,CHI,DET,16.0,0.0,1.0,0.0
2020-09-13,1,M.Trubisky,CHI,DET,1.0,1.0,1.0,0.0
2020-09-13,1,M.Stafford,DET,CHI,,0.0,0.0,1.0
2020-09-13,1,M.Trubisky,CHI,DET,27.0,1.0,1.0,0.0
2020-09-13,1,M.Stafford,DET,CHI,11.0,0.0,1.0,0.0
2020-09-13,1,M.Stafford,DET,CHI,,0.0,0.0,0.0
2020-09-13,1,M.Stafford,DET,CHI,5.0,0.0,1.0,0.0
2020-09-13,1,M.Stafford,DET,CHI,3.0,0.0,1.0,0.0
2020-09-13,1,M.Stafford,DET,CHI,,0.0,0.0,0.0
2020-09-13,1,M.Stafford,DET,CHI,32.0,0.0,1.0,0.0
2020-09-13,1,M.Stafford,DET,CHI,,0.0,0.0,0.0
2020-09-13,1,M.Stafford,DET,CHI,,0.0,0.0,0.0
2020-09-13,1,M.Stafford,DET,CHI,,0.0,0.0,0.0
2020-09-13,1,B.Mayfield,CLE,BAL,5.0,0.0,1.0,0.0
2020-09-13,1,B.Mayfield,CLE,BAL,6.0,0.0,1.0,0.0
2020-09-13,1,B.Mayfield,CLE,BAL,,0.0,0.0,0.0
2020-09-13,1,B.Mayfield,CLE,BAL,,0.0,0.0,1.0
2020-09-13,1,L.Jackson,BAL,CLE,12.0,0.0,1.0,0.0
2020-09-13,1,L.Jackson,BAL,CLE,5.0,1.0,1.0,0.0
2020-09-13,1,B.Mayfield,CLE,BAL,,0.0,0.0,0.0
2020-09-13,1,L.Jackson,BAL,CLE,,0.0,0.0,0.0
2020-09-13,1,B.Mayfield,CLE,BAL,16.0,0.0,1.0,0.0
2020-09-13,1,B.Mayfield,CLE,BAL,6.0,0.0,1.0,0.0
2020-09-13,1,B.Mayfield,CLE,BAL,1.0,1.0,1.0,0.0
2020-09-13,1,L.Jackson,BAL,CLE,47.0,0.0,1.0,0.0
2020-09-13,1,B.Mayfield,CLE,BAL,8.0,0.0,1.0,0.0
2020-09-13,1,B.Mayfield,CLE,BAL,,0.0,0.0,0.0
2020-09-13,1,B.Mayfield,CLE,BAL,13.0,0.0,1.0,0.0
2020-09-13,1,B.Mayfield,CLE,BAL,,0.0,0.0,0.0
2020-09-13,1,B.Mayfield,CLE,BAL,9.0,0.0,1.0,0.0
2020-09-13,1,B.Mayfield,CLE,BAL,1.0,0.0,1.0,0.0
2020-09-13,1,B.Mayfield,CLE,BAL,,0.0,0.0,0.0
2020-09-13,1,B.Mayfield,CLE,BAL,,0.0,0.0,0.0
2020-09-13,1,B.Mayfield,CLE,BAL,,0.0,0.0,0.0
2020-09-13,1,L.Jackson,BAL,CLE,9.0,0.0,1.0,0.0
