week,date,home_team,away_team,venue,status
9,2025-11-02,LV,JAX,Allegiant Stadium,REG
9,2025-11-02,BUF,KC,New Era Field,REG
9,2025-11-02,WAS,SEA,FedExField,REG
9,2025-11-03,DAL,ARI,AT&T Stadium,REG
10,2025-11-06,DEN,LV,Empower Field at Mile High,REG
10,2025-11-09,IND,ATL,Lucas Oil Stadium,REG
10,2025-11-09,CAR,NO,Bank of America Stadium,REG
10,2025-11-09,CHI,NYG,Soldier Field,REG
10,2025-11-09,HOU,JAX,NRG Stadium,REG
10,2025-11-09,MIA,BUF,Hard Rock Stadium,REG
10,2025-11-09,MIN,BAL,U.S. Bank Stadium,REG
10,2025-11-09,NYJ,CLE,MetLife Stadium,REG
10,2025-11-09,TB,NE,Raymond James Stadium,REG
10,2025-11-09,SEA,ARI,Lumen Field,REG
10,2025-11-09,SF,LA,Levi's Stadium,REG
10,2025-11-09,WAS,DET,FedExField,REG
10,2025-11-09,LAC,PIT,SoFi Stadium,REG
10,2025-11-10,GB,PHI,Lambeau Field,REG
11,2025-11-13,NE,NYJ,Gillette Stadium,REG
11,2025-11-16,MIA,WAS,Hard Rock Stadium,REG
11,2025-11-16,ATL,CAR,Mercedes-Benz Stadium,REG
11,2025-11-16,BUF,TB,New Era Field,REG
11,2025-11-16,JAX,LAC,TIAA Bank Stadium,REG
11,2025-11-16,MIN,CHI,U.S. Bank Stadium,REG
11,2025-11-16,NYG,GB,MetLife Stadium,REG
11,2025-11-16,PIT,CIN,Acrisure Stadium,REG
11,2025-11-16,TEN,HOU,Nissan Stadium,REG
11,2025-11-16,ARI,SF,State Farm Stadium,REG
11,2025-11-16,LA,SEA,SoFi Stadium,REG
11,2025-11-16,CLE,BAL,FirstEnergy Stadium,REG
11,2025-11-16,DEN,KC,Empower Field at Mile High,REG
11,2025-11-16,PHI,DET,Lincoln Financial Field,REG
11,2025-11-17,LV,DAL,Allegiant Stadium,REG
12,2025-11-20,HOU,BUF,NRG Stadium,REG
12,2025-11-23,BAL,NYJ,M&T Bank Stadium,REG
12,2025-11-23,CHI,PIT,Soldier Field,REG
12,2025-11-23,CIN,NE,Paycor Stadium,REG
12,2025-11-23,DET,NYG,Ford Field,REG
12,2025-11-23,GB,MIN,Lambeau Field,REG
12,2025-11-23,KC,IND,GEHA Field at Arrowhead Stadium,REG
12,2025-11-23,TEN,SEA,Nissan Stadium,REG
12,2025-11-23,ARI,JAX,State Farm Stadium,REG
